metric,value
val_auc,0.5666666666666667
optimal_threshold,0.49933290481567383
test_threshold_default,0.5
test_auc_default,0.4027777777777778
test_accuracy_default,0.47058823529411764
test_precision_default,0.45454545454545453
test_recall_default,0.625
test_f1_default,0.5263157894736842
test_specificity_default,0.3333333333333333
test_threshold_optimal,0.49933290481567383
test_auc_optimal,0.4027777777777778
test_accuracy_optimal,0.47058823529411764
test_precision_optimal,0.45454545454545453
test_recall_optimal,0.625
test_f1_optimal,0.5263157894736842
test_specificity_optimal,0.3333333333333333
