metric,value
val_auc,0.8500000000000001
optimal_threshold,0.4748467206954956
test_threshold_default,0.5
test_auc_default,0.5972222222222222
test_accuracy_default,0.5294117647058824
test_precision_default,0.0
test_recall_default,0.0
test_f1_default,0.0
test_specificity_default,1.0
test_threshold_optimal,0.4748467206954956
test_auc_optimal,0.5972222222222222
test_accuracy_optimal,0.5882352941176471
test_precision_optimal,0.5384615384615384
test_recall_optimal,0.875
test_f1_optimal,0.6666666666666666
test_specificity_optimal,0.3333333333333333
