epoch,train_auc,val_auc,gap,is_overfitting
0,0.5674740484429066,0.5272727272727272,0.04020132117017938,False
1,0.42560553633217996,0.5272727272727272,-0.10166719094054727,False
2,0.5432525951557093,0.5272727272727272,0.015979867882982113,False
3,0.5449826989619376,0.5272727272727272,0.017709971689210402,False
4,0.4411764705882353,0.5272727272727272,-0.08609625668449195,False
5,0.513840830449827,0.5272727272727272,-0.013431896822900247,False
6,0.4619377162629758,0.5272727272727272,-0.06533501100975142,False
7,0.5674740484429066,0.5272727272727272,0.04020132117017938,False
8,0.5121107266435986,0.5272727272727272,-0.015162000629128647,False
9,0.4861591695501731,0.5272727272727272,-0.04111355772255415,False
10,0.4930795847750865,0.5272727272727272,-0.034193142497640716,False
11,0.4256055363321799,0.5272727272727272,-0.10166719094054733,False
12,0.5086505190311419,0.5272727272727272,-0.018622208241585336,False
13,0.4896193771626297,0.5272727272727272,-0.03765335011009752,False
14,0.5640138408304498,0.5272727272727272,0.03674111355772258,False
15,0.5103806228373702,0.5272727272727272,-0.016892104435357047,False
16,0.4325259515570934,0.5272727272727272,-0.09474677571563384,False
17,0.3996539792387543,0.5272727272727272,-0.12761874803397294,False
18,0.45674740484429066,0.5272727272727272,-0.07052532242843657,False
19,0.47231833910034604,0.5272727272727272,-0.054954388172381186,False
20,0.4083044982698962,0.5272727272727272,-0.11896822900283105,False
