metric,value
val_auc,0.7
optimal_threshold,0.5190403461456299
test_threshold_default,0.5
test_auc_default,0.5277777777777778
test_accuracy_default,0.5294117647058824
test_precision_default,0.5
test_recall_default,0.5
test_f1_default,0.5
test_specificity_default,0.5555555555555556
test_threshold_optimal,0.5190403461456299
test_auc_optimal,0.5277777777777778
test_accuracy_optimal,0.5294117647058824
test_precision_optimal,0.5
test_recall_optimal,0.375
test_f1_optimal,0.42857142857142855
test_specificity_optimal,0.6666666666666666
