fold_idx,val_auc,test_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,optimal_threshold
0,0.4166666666666667,0.8125,0.7222222222222222,0.5454545454545454,1.0,0.5833333333333334,0.7058823529411765,0.32690235600627215
1,0.8787878787878788,0.3181818181818182,0.4117647058823529,0.3,0.5,0.36363636363636365,0.375,0.31760866831812223
2,0.7090909090909091,0.7348484848484848,0.7058823529411765,0.5714285714285714,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.33394717908428373
3,0.6272727272727273,0.7,0.5,0.3333333333333333,0.6,0.45454545454545453,0.42857142857142855,0.34511343972570585
4,0.923611111111111,0.509090909090909,0.5,0.2,0.2,0.6363636363636364,0.2,0.38656294909786626
