metric,value
val_auc,0.4305555555555556
optimal_threshold,0.5294718146324158
test_threshold_default,0.5
test_auc_default,0.5454545454545454
test_accuracy_default,0.35294117647058826
test_precision_default,0.35294117647058826
test_recall_default,1.0
test_f1_default,0.5217391304347826
test_specificity_default,0.0
test_threshold_optimal,0.5294718146324158
test_auc_optimal,0.5454545454545454
test_accuracy_optimal,0.5882352941176471
test_precision_optimal,0.4
test_recall_optimal,0.3333333333333333
test_f1_optimal,0.36363636363636365
test_specificity_optimal,0.7272727272727273
